Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,22u,C45783
"C10, C4, C6, C7, C8, C9",0402,6,100n,C1525
"C11, C12",0402,2,10p,C32949
C2,0603,1,22u,C59461
"C3, C5",0603,2,10u,C19702
J1,Jushuo_AFC07-S06FCA-00_1x6-1MP_P0.50_Horizontal,1,Conn_01x06_MountingPin,C262553
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C165948
R1,0402,1,10k,C25744
R2,0402,1,1k5,C25867
R3,0402,1,330,C25104
"R4, R5",0402,2,5k1,C25905
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
U3,SOT-23-6,1,SRV05-4,C7420376
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
